Command,Link
ad auth,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/ad-auth.htm
ad netjoin,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/ad-netj.htm
ad netleave,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/ad-netl.htm
ad passwd-server,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/ad-pwd-srv.htm
ad testjoin,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/ad-test.htm
alias,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/als.htm
backup,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/bkp.htm
cluster diagnostics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-diag.htm
cluster drop-subscriber,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-dro-sub.htm
cluster list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-lis.htm
cluster make-publisher,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-mak-pub.htm
cluster make-subscriber,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-mak-sub.htm
cluster reset database,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-res-dat.htm
cluster set-cluster-passwd,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-set-pwd.htm
cluster set communication mode,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-set-com-mode.htm
cluster set-standby-publisher,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-set-std-pub.htm
cluster sync-cluster-passwd,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/clust-syc-pwd.htm
configure date,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-dat.htm
configure dns,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-dns.htm
configure fips-mode,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-fip.htm
configure hostname,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-hst.htm
configure ip,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-ip.htm
configure ip6,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-ip6.htm
configure mtu,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-mtu.htm
configure port,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-prt.htm
configure timezone,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/con-tmz.htm
dump certchain,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/dmp-crt.htm
dump logs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/dmp-log.htm
dump servercert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/dmp-srv-crt.htm
help,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/hlp.htm
ldapsearch,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/ldp-srh.htm
network ip,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/net-ip.htm
network ip6,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/net-ip6.htm
network ping,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/net-png.htm
network ping6,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/net-png-6.htm
network reset,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/net-rst.htm
network traceroute,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/net-trc.htm
network traceroute 6,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/net-trc-6.htm
network nslookup,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/ns-lkp.htm
restore,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/rst.htm
service,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/srv.htm
show all-timezones,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-all-tmz.htm
show date,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-dte.htm
show domain,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-dom.htm
show dns,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-dns.htm
show fipsmode,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-fip.htm
show hostname,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-hst-nme.htm
show ip,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-ip.htm
show license,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-lic.htm
show ntp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-ntp.htm
show ntp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-sys.htm
show timezone,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-tmz.htm
show version,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sho-ver.htm
system admin-password-reset,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-adm-pwd-rst.htm
system apps-access-reset,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-app-acc-rst.htm
system boot-image,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-bt-img.htm
system cleanup,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-cln.htm
system create-api-client,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-crt-api-clt.htm
system export-endpoints,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-exp-end-csv.htm
system factory-reset,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-fct-rst.htm
system gen-recovery-key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-gen-rcv-key.htm
system gen-support-key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-gen-spt-key.htm
system install-image,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-ins-img.htm
system morph-vm,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-mph-vm.htm
system patch-rollback,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-pch-rbk.htm
system refresh-license,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-rfh-lic.htm
system refresh-network,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-rfh-net.htm
system restart,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-rst.htm
system reset-server-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-rst-srv-crt.htm
system shutdown,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-sht-dwn.htm
system start-rasession,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-srt-ras.htm
system sso-reset,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-sso-rst.htm
system status rasession,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-stat-ras.htm
system terminate-rasession,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-trm-ras.htm
system update,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-upd.htm
system update-luks-key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-upd-lks-key.htm
system upgrade,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/cppm/sys-upg.htm
